data_version=fm-20260911-01 params_sha=6a1bb7f46402 window=320 比對 10 日（2026-09-01～2026-09-14）；repo 原料包 480 份（區間內 10 份）、參考交易日 10 日
2026-09-01  原料包 相同 | 分數 共同 5,835 列 不同 5,835 | diag 相同 | 歸類 ①0 ②0 ③0 ④0 ⑤0 ⑥0 ①連帶1944
    2026-09-07: ('tpex', 'mid', '1580') 欄 line_3: A=14.98353616446924 B=15.590483916982144
    2026-09-07: ('tpex', 'mid', '1584') 欄 line_6: A=42.33491201514404 B=42.172739086935515
    2026-09-07: ('tpex', 'mid', '1586') 欄 line_3: A=22.50230427431663 B=23.166143096004014
    2026-09-07: ('tpex', 'mid', '1591') 欄 line_6: A=39.1622550909021 B=38.671350291452356
    2026-09-07: ('tpex', 'mid', '1593') 欄 line_6: A=51.09051056532442 B=50.9283376371159
    2026-09-07: ('tpex', 'mid', '1595') 欄 line_6: A=49.80623902713538 B=49.64406609892686
    2026-09-07: ('tpex', 'mid', '1599') 欄 line_3: A=33.57557976045288 B=34.306646644215384
    2026-09-07: ('tpex', 'mid', '1742') 欄 line_6: A=38.27031268741753 B=38.108139759208996
    2026-09-07: ('tpex', 'mid', '1777') 欄 line_6: A=39.84278204754352 B=39.680609119334996
    2026-09-07: ('tpex', 'mid', '1780') 欄 line_6: A=46.17524200955799 B=46.013069081349464
    2026-09-07: ('tpex', 'mid', '1781') 欄 line_6: A=37.94887812542946 B=37.786705197220925
    2026-09-07: ('tpex', 'mid', '1784') 欄 line_6: A=39.84278204754352 B=39.680609119334996
    2026-09-07: ('tpex', 'mid', '1785') 欄 line_6: A=52.96890963388559 B=52.80673670567706
    2026-09-07: ('tpex', 'mid', '1788') 欄 line_6: A=37.94887812542946 B=37.786705197220925
    2026-09-07: ('tpex', 'mid', '1796') 欄 line_6: A=44.471311584023795 B=44.30913865581527
    2026-09-07: ('tpex', 'mid', '1799') 欄 line_6: A=39.84278204754352 B=39.680609119334996
    2026-09-07: ('tpex', 'mid', '1813') 欄 line_6: A=37.94887812542946 B=37.786705197220925
    2026-09-07: ('tpex', 'mid', '1815') 欄 line_6: A=45.355781703293815 B=45.19360877508529
    2026-09-07: ('tpex', 'mid', '2035') 欄 line_6: A=47.06961092125309 B=46.90743799304456
    2026-09-07: ('tpex', 'mid', '2061') 欄 line_6: A=30.844560960591632 B=30.682388032383106
    2026-09-07: ('tpex', 'mid', '2063') 欄 line_6: A=39.632319368218 B=39.47014644000947
    2026-09-07: ('tpex', 'mid', '2064') 欄 line_6: A=33.37987346059163 B=33.217700532383105
    2026-09-07: ('tpex', 'mid', '2065') 欄 line_6: A=39.632319368218 B=39.47014644000947
    2026-09-07: ('tpex', 'mid', '2066') 欄 line_3: A=21.003666530547616 B=21.736337769208113
    2026-09-07: ('tpex', 'mid', '2067') 欄 line_3: A=9.030168533765341 B=9.385751533886763
    2026-09-07: ('tpex', 'mid', '2070') 欄 line_3: A=47.091053509792125 B=47.82836062125965
    2026-09-07: ('tpex', 'mid', '2073') 欄 line_6: A=33.37987346059163 B=33.217700532383105
    2026-09-07: ('tpex', 'mid', '2221') 欄 line_6: A=42.33491201514404 B=42.172739086935515
    2026-09-07: ('tpex', 'mid', '2230') 欄 line_6: A=38.66887643150639 B=38.50670350329786
    2026-09-07: ('tpex', 'mid', '2235') 欄 line_3: A=39.396028725870416 B=40.13568039760591
    2026-09-07: ('tpex', 'mid', '2596') 欄 line_6: A=48.71493495659287 B=48.55276202838434
    2026-09-07: ('tpex', 'mid', '2640') 欄 line_6: A=41.56876226736797 B=39.837294218389275
    2026-09-07: ('tpex', 'mid', '2641') 欄 line_6: A=52.7828237545836 B=52.62065082637507
    2026-09-07: ('tpex', 'mid', '2643') 欄 line_6: A=52.7828237545836 B=52.62065082637507
    2026-09-07: ('tpex', 'mid', '2718') 欄 line_6: A=48.71493495659287 B=48.55276202838434
    2026-09-07: ('tpex', 'mid', '2719') 欄 line_3: A=10.965466000145465 B=11.04664341224567
    2026-09-07: ('tpex', 'mid', '2724') 欄 line_6: A=40.280986197113265 B=40.11881326890473
